Rate only Communication related parameters in case of the follow up scenario mentioned below: All other pararameters from will be rated as NA,
I am calling you back as per our last conversation.,Follow up
We spoke previously regarding your interest in MetaGo.,
I am following up on the details we discussed earlier today/yesterday.,
You had requested a callback at this time to proceed further.,
I am calling to check if you were able to complete the payment for the 1799/- plan.,
Did you receive the payment link I shared on your WhatsApp?,
I noticed the enrollment hasn't been completed yet; do you need any help with the link?,
Is there any technical issue you are facing while trying to enroll?,
"You mentioned you would check with your family/husband before paying, any update?",
Are we good to go ahead with the enrollment we discussed?,
I am calling to finalize your Blood Test slot for tomorrow morning.,
"Regarding the home visit for the test, can you confirm your full address?",
I am calling to see if your doctor gave you the go-ahead to start the program.,
"Yes, I spoke to an agent in the morning.",
"I already have all the info, just tell me how to pay.",
"I already know the process, I just need to book the slot.",