Pillar,Pillar_Weight_Pct,Parameter_ID,Parameter_Name,Scoring_Type,Description,Label_A,Label_A_When,Label_B,Label_B_When,Label_C,Label_C_When,Label_D,Label_D_When,Label_E,Label_E_When,Score_NA_When,Output_Column_Name,Output_Reason_Column_Name
Customer Journey Signals,40,P1-01,Customer Arrival State,Classification,Classify the customer tone and receptivity based on the first 3 to 4 exchanges only. Do not factor in anything the agent said or did. Observe only what the customer communicated.,Warm,Customer responds positively and engages naturally from the first exchange. Tone is open cooperative and without friction.,Curious,Customer is engaged but asking questions before committing attention. Slightly guarded but clearly receptive to hearing more.,Neutral,Customer is neither warm nor cold. Responding minimally and waiting to hear more before reacting in either direction.,Guarded,Customer is skeptical from the start. Short answers questioning the legitimacy or purpose of the call or referencing a prior negative experience in the opening.,Hostile,Customer is dismissive refuses to engage meaningfully or attempts to end the call within the first minute.,Call disconnected before customer had more than one exchange.,P1_01_Customer_Arrival_State,P1_01_Reason
Customer Journey Signals,40,P1-02,Customer Stated or Implied Pain Point,Classification,Did the customer articulate or clearly imply why they want to lose weight? Classify the type and whether it was confirmed during the call.,Confirmed Health Comorbidity,Customer explicitly mentioned a condition: diabetes thyroid disorder PCOS BP fatty liver high cholesterol or any other metabolic condition.,Confirmed Failed Attempts,Customer explicitly referenced a prior gym diet plan Herbalife competing service or any other weight loss method that did not produce lasting results.,Confirmed Life Event or Appearance,Customer mentioned a wedding travel plan age-related concern fitness goal or aesthetic motivation as their reason.,Implied Not Confirmed,Customer hinted at a motivation but never stated it directly. Agent did not probe to confirm.,Not Surfaced,No pain point emerged at any point during the call. Customer gave no context and agent did not ask.,Call was too short under 90 seconds for this to be assessed.,P1_02_Pain_Point_Type,P1_02_Reason
Customer Journey Signals,40,P1-03,Medication or GLP Resistance Signal,Classification,Did the customer express any hesitation reluctance or outright refusal toward GLP-1 medication injections or medication dependency at any point during the call?,Strong Resistance,Customer explicitly refused injections or medication. Said something equivalent to I don't want Ozempic or I am not interested in any medication. Call direction was forced to change.,Partial Resistance,Customer expressed hesitation or concern about side effects long-term dependency frequency of injection or discomfort but did not refuse outright.,Curiosity Mixed,Customer asked questions about the medication — dosage frequency cost side effects — without expressing reluctance. Signal is interest not resistance.,None,No signal of any kind related to medication or GLP-1 from the customer at any point.,NA,NA,Call ended before medication was discussed.,P1_03_Medication_Resistance_Signal,P1_03_Reason
Customer Journey Signals,40,P1-04,Trust Deficit Signal,Classification,Did the customer express concern about fraud payment safety company legitimacy or reference a prior negative experience with MetaGoHealth or any other weight loss company?,Present Fraud or Safety Concern,Customer explicitly questioned whether the company is legitimate whether the payment is safe or whether they would actually receive what was promised before paying.,Present Prior Bad Experience,Customer mentioned a previous program including MetaGoHealth or any other company that charged them and underdelivered on service consultation or results.,Present General Skepticism,Customer expressed general disbelief or skepticism about the program without citing a specific incident or naming a prior company.,None,No trust or legitimacy concern was raised by the customer at any point during the call.,NA,NA,Not applicable.,P1_04_Trust_Deficit_Signal,P1_04_Reason
Customer Journey Signals,40,P1-05,Price Sensitivity Signal,Classification,Did the customer react visibly in tone or words to any price mentioned during the call? Include reactions to the 1799 assessment fee the full 6-month plan cost or monthly medication cost.,Strong Reaction,Customer explicitly said the price is too high compared it to a competitor price asked for a discount or withdrew engagement after a price was mentioned.,Mild Reaction,Customer paused asked for clarification or repeated the price back as a question without refusing. Engagement continued but with visible hesitation.,Neutral Acceptance,Price was mentioned and customer acknowledged it without any visible reaction. Engagement continued normally.,Not Triggered,No price was discussed during the call or the call ended before any price was reached.,NA,NA,Not applicable.,P1_05_Price_Sensitivity_Signal,P1_05_Reason
Customer Journey Signals,40,P1-06,Competitor or Alternative Present,Classification,Was any competing service platform local doctor or alternative approach mentioned by the customer at any point during the call?,Named Competitor,Customer named a specific service: HealthifyMe Sugarfit Alimite Elevate or any other named clinic app or doctor offering similar services.,Generic Alternative,Customer referenced another app another company or my doctor without naming who specifically.,Self-Research Present,Customer mentioned they had researched GLP-1 Ozempic Wegovy or weight loss options independently. No specific competitor named but prior knowledge is evident.,None,No mention of any alternative competitor or prior research by the customer at any point.,NA,NA,Not applicable.,P1_06_Competitor_Alternative_Present,P1_06_Reason
Customer Journey Signals,40,P1-07,Decision Maker Status,Classification,Is the person on the call the one who will make the final decision and complete the payment?,Self Full Authority,Customer confirmed they are calling for themselves and are the decision maker and payer.,Self Needs Consultation,Customer is the subject and intends to enroll but mentioned needing to consult a spouse family member or doctor before deciding.,Proxy Calling for Someone Else,Customer is inquiring on behalf of a family member — daughter spouse parent — who is the actual subject. The subject is not present on the call.,Unclear,Decision maker status was never established during the call. Agent did not ask and customer did not clarify.,NA,NA,Not applicable.,P1_07_Decision_Maker_Status,P1_07_Reason
Customer Journey Signals,40,P1-08,Customer Emotional Momentum Mid-Call,Classification,Did the customer's engagement increase hold steady or decrease as the call progressed? Compare tone question frequency and response depth from the first third to the final third of the call. Evaluate the customer only not the agent.,Rising,Customer became noticeably more engaged as the call progressed. Asked more questions gave longer and more personal answers or moved toward logistics and commitment language by the end.,Flat,Customer maintained the same level of engagement throughout. Neither warming up nor cooling down. Responses stayed consistent in length and tone.,Declining,Customer became less engaged as the call progressed. Responses became shorter deflections increased or the customer began signaling a desire to exit.,Volatile,Customer engagement shifted more than once in opposite directions — for example warmed up during the explanation then cooled sharply after price was mentioned.,NA,NA,Call too short to assess trajectory.,P1_08_Customer_Emotional_Momentum,P1_08_Reason
Customer Journey Signals,40,P1-09,Buying Signal Type,Classification,What was the strongest forward-commitment signal from the customer if any? Classify only the most advanced signal that appeared not all signals.,Logistics Question,Customer asked about fasting duration blood sample process slot timing technician visit alternate address for blood test payment process or what happens immediately after the test. These are the strongest commitment indicators.,Outcome Question,Customer asked how much weight they can lose in what timeframe what the success rate is or what the program journey looks like after assessment. Interest is confirmed but not yet at logistics stage.,Pricing Question,Customer asked about the 1799 fee the full plan cost or medication cost. Engagement is present but the customer is still evaluating whether to proceed.,None,No forward-commitment signal from the customer at any point during the call.,NA,NA,Not applicable.,P1_09_Buying_Signal_Type,P1_09_Reason
Customer Journey Signals,40,P1-10,Customer Exit State,Classification,How did the customer leave the call? Choose the single most accurate label. If multiple could apply choose the one that best explains why the call did or did not convert.,Converted,Customer confirmed payment on the call. A payment link was sent and the customer completed or clearly committed to completing the payment before disconnect.,Committed Callback,Customer agreed to a specific named day and time for a callback. Not vague — a concrete date and time were stated by the customer.,Soft Deflection,Customer said I will think about it or I will call you back or give me some time with no specific date or time committed.,Hard Logistical Barrier,Customer is genuinely interested but blocked by a real circumstance: non-serviceable pincode currently out of town recently completed a similar blood test or not at their primary location.,Medication Refusal / Price Refusal / Ineligibility / Hard No,Medication Refusal: customer specifically refused GLP-1 medication or injections as the explicit reason. Price Refusal: customer explicitly cited cost as the reason. Ineligibility: BMI below 27 age outside 18-65 or medical exclusion identified. Hard No: customer refused to engage further with no specific reason or openness to follow-up.,Call disconnected abruptly with no customer exit signal.,P1_10_Customer_Exit_State,P1_10_Reason
Agent Sales Execution,40,P2-11,Opening and Context Establishment,0-4,Agent states their own name and MetaGoHealth within the first 30 seconds. Confirms the reason for the call is the customer's website visit for weight loss. Verifies they are speaking to the correct person before pitching.,4,Agent stated name and MetaGoHealth confirmed the website visit as reason for the call and verified the correct person — all within 30 seconds. Customer understood immediately why they were being called.,3,All three elements present but one was slightly delayed past 30 seconds or identity verification was implicit rather than explicitly confirmed.,2,Agent stated name and brand but did not confirm the website visit context. Jumped into pitch without establishing why they were calling. Customer showed brief confusion.,1,Agent stated name only or brand only. No context or identity verification. Customer appeared uncertain about the purpose of the call.,0,No opening context at all. Agent began pitching without introducing themselves naming MetaGoHealth or confirming they had the right person.,Call disconnected before the agent had the opportunity to speak.,P2_11_Opening_Context,P2_11_Reason
Agent Sales Execution,40,P2-12,Pain Point Discovery Before Pitch,0-4,Agent asked about and captured the customer's primary reason for wanting to lose weight before delivering any product explanation. The customer's answer visibly shaped what the agent said next.,4,Agent asked a direct open question about why the customer wanted to lose weight before any product explanation. The specific answer was referenced again later in the call. Pitch was visibly tailored to the stated pain point.,3,Agent asked about the customer's reason and received an answer but used it only partially to frame the pitch. Some generic pitch elements remained regardless of what the customer said.,2,Agent asked a surface question — is this for yourself or a family member — without probing the specific motivation. Pitch was mostly generic.,1,Agent asked only logistics questions — height weight age pincode — with no question about why the customer wanted to lose weight. Pain point emerged only if the customer volunteered it unprompted.,0,No discovery question asked at any point. A fully generic pitch was delivered with no understanding of what the customer actually wanted.,Customer immediately demanded pricing and ended the call before any discovery was possible. Or call was under 90 seconds.,P2_12_Pain_Point_Discovery,P2_12_Reason
Agent Sales Execution,40,P2-13,Prior Attempt and Competitor Probe,0-4,Agent asked what the customer had previously tried for weight loss and whether they were comparing alternatives. The customer's answer was used to anchor differentiation.,4,Agent asked directly about prior weight loss attempts and whether other services were being considered. Customer's specific answer was used to anchor at least one differentiation point later. Prior failure or comparison was acknowledged empathetically before the rebuttal.,3,Agent asked about prior attempts and received an answer. Acknowledged the experience but the rebuttal that followed was somewhat generic rather than specifically tied to what the customer described.,2,Agent asked about prior attempts but the answer was not meaningfully used. Pitch continued largely unchanged regardless of what the customer shared.,1,Agent did not ask proactively. Customer volunteered a prior experience or named a competitor. Agent acknowledged it briefly but did not use it to differentiate.,0,Agent did not ask. Customer named a competitor or referenced a prior bad experience. Agent ignored the signal entirely and continued the standard pitch with no differentiation.,Customer refused to share prior history. Or call was too short for this stage to be reached.,P2_13_Prior_Attempt_Competitor_Probe,P2_13_Reason
Agent Sales Execution,40,P2-14,GLP-1 Knowledge Calibration,0-4,Agent checked whether the customer was already aware of GLP-1 before delivering the explanation. Explanation was correctly compressed for informed customers and complete for unaware ones.,4,Agent asked about GLP-1 awareness before explaining. Calibrated correctly — complete explanation for unaware customers compressed or skipped for informed ones. No time wasted on redundant explanation.,3,Agent asked about awareness but calibration was slightly off — partial explanation delivered to someone who already knew or slightly too compressed for someone who needed more.,2,Agent delivered a standard GLP-1 explanation without checking knowledge first. Happened to be appropriate because customer was unaware but the awareness check was missing.,1,Agent delivered the full GLP-1 explanation to a customer who had already confirmed awareness or demonstrated knowledge mid-pitch. Customer visibly disengaged or redirected.,0,Agent delivered a multi-minute GLP-1 explanation to a customer who had already confirmed full awareness of GLP-1 Ozempic or competing products. Customer cut the agent off or disengaged entirely.,Customer volunteered their GLP-1 knowledge status unprompted before the agent could ask.,P2_14_GLP1_Knowledge_Calibration,P2_14_Reason
Agent Sales Execution,40,P2-14a,Call Personalisation,0-4,Agent used the customer's name naturally throughout the call. Referenced the customer's specific data points — BMI category comorbidity location lifestyle — rather than generic statements. Adapted language to match the customer's preferred Hindi or English mix.,4,Customer's name used naturally at least twice beyond the opening. At least one specific data point from the customer's profile was woven back into the pitch — for example referencing their thyroid condition when explaining the blood panel or their travel schedule when explaining door-to-door service. Language matched the customer's preferred mix throughout.,3,Name used and at least one specific reference made but language calibration was slightly off — continued in English when customer was clearly more comfortable in Hindi or vice versa.,2,Name used but pitch remained largely generic. Customer's specific details were collected but not woven back into the explanation in a meaningful way.,1,Name used only at the very start as a greeting. The rest of the call was a generic pitch delivered identically regardless of who the customer was or what they shared.,0,No personalisation at any point. Agent did not use the customer's name after the opening did not reference their specific details and delivered a word-for-word script regardless of what the customer shared.,Not applicable.,P2_14a_Call_Personalisation,P2_14a_Reason
Agent Sales Execution,40,P2-14b,Future Health Consequence Framing,0-4,Agent connected the customer's current weight situation to a specific future health risk — diabetes BP joint deterioration heart disease — before or during the pitch. Framing was tied to this customer's own profile not a generic warning.,4,Agent named a specific future health risk directly relevant to this customer's age BMI or existing comorbidity. The consequence was framed as preventable through early action. Customer acknowledged or engaged with the point.,3,Agent mentioned future health consequences but the framing was somewhat generic — listed common risks without directly connecting them to this customer's specific profile or stated condition.,2,Agent briefly mentioned health risks in passing but did not develop the point or connect it to the customer. Felt like a checkbox item rather than a conviction moment.,1,Agent mentioned weight-related health risks only when the customer brought up a health condition themselves. Did not introduce the consequence framing proactively.,0,No health consequence framing at any point. Or agent used fear-based framing that was exaggerated or medically inaccurate.,Customer explicitly stated they have no health concerns and are pursuing weight loss purely for appearance or fitness.,P2_14b_Future_Health_Framing,P2_14b_Reason
Agent Sales Execution,40,P2-15,Pitch Anchored to 1799 Not the Full Plan,0-4,Agent's primary ask throughout the call is the 1799 rupee assessment only. Full plan cost of 21000 to 41000 rupees is not introduced unless the customer directly asks. When asked agent provides a rough range and immediately reframes it as a future decision.,4,Agent never introduced the full plan cost unprompted. When customer asked agent gave a rough range and immediately reframed it as a future decision the doctor will clarify after the assessment. The 1799 assessment was the clear and only ask throughout.,3,Agent kept focus on 1799 but briefly mentioned the plan cost in passing without making it central. Customer did not react negatively and engagement continued.,2,Agent mentioned plan cost during the pitch before the customer asked but returned to 1799 reasonably quickly. Some ambiguity about what the customer was committing to.,1,Agent introduced full plan cost of 21000 to 41000 early in the pitch before any commitment to 1799 was established. Customer showed hesitation as a result.,0,Agent introduced full plan cost before the 1799 assessment was committed to. Customer responded with a cost objection and either disengaged or refused the 1799 as well.,Customer directly asked for full plan pricing before the agent had a chance to establish the 1799 ask. Agent responded to the direct question.,P2_15_Pitch_Anchored_1799,P2_15_Reason
Agent Sales Execution,40,P2-16,Medication Resistance Handled,0-4,If P1-03 was Strong Resistance or Partial Resistance did the agent address it specifically? Score NA if P1-03 was None or Curiosity Mixed.,4,Agent acknowledged the resistance explicitly without dismissing it. Pivoted to the oral option Rybelsus if injection was the concern. Normalized the concern with specifics: pen format once weekly doctor-guided dosage. Customer's concern was visibly reduced.,3,Agent acknowledged the resistance and offered an alternative but the response was slightly mechanical. Customer's concern was partially reduced but not fully resolved.,2,Agent acknowledged the resistance briefly but continued with the standard injectable-first pitch without meaningfully adapting. Customer's concern remained.,1,Agent acknowledged the resistance but had no effective response. Simply restated product features. Customer repeated the objection.,0,Agent ignored the resistance entirely or said our program is based on this only and offered no alternative no empathy and no acknowledgment. Customer disengaged.,P1-03 was None or Curiosity Mixed. No medication resistance signal was present.,P2_16_Medication_Resistance_Handled,P2_16_Reason
Agent Sales Execution,40,P2-17,Trust or Fraud Concern Addressed,0-4,If P1-04 was any label other than None did the agent respond with specific credibility builders? Score NA if P1-04 was None.,4,Agent named at least two specific credibility elements: Thyrocare as a verifiable lab doctor names searchable on Google Mumbai office location payment going to a verified MetaGoHealth account or the WhatsApp confirmation process. Customer's concern was visibly reduced.,3,Agent provided credibility reassurance but only one specific credibility point was named. Remaining reassurance was generic without specifics.,2,Agent acknowledged the concern but the response was entirely generic. No specific credibility builders named. Customer remained skeptical.,1,Agent dismissed the concern rather than addressing it — said something like everyone asks this it is fine — without providing any specific or verifiable reassurance.,0,Agent ignored the trust concern entirely and continued the pitch. Or agent became defensive. Customer disengaged because the concern was unresolved.,P1-04 was None. No trust deficit signal was present.,P2_17_Trust_Concern_Addressed,P2_17_Reason
Agent Sales Execution,40,P2-18,Buying Signal Recognized and Acted On,0-4,When a logistics or commitment question appeared (P1-09 = Logistics Question) did the agent stop pitching and move to slot booking and payment within 1 to 2 exchanges? Score NA if P1-09 was Outcome Question Pricing Question or None.,4,Agent identified the buying signal immediately. Stopped pitching within one exchange. Moved directly to slot availability and payment link. No further product explanation delivered after the signal appeared.,3,Agent caught the buying signal and moved toward booking but delivered one additional pitch element before transitioning. Slight delay but momentum was maintained.,2,Agent detected the signal eventually but continued one to two full pitch sections before pivoting. Some momentum was lost but the call still moved toward booking.,1,Agent missed the buying signal initially. Customer had to repeat or reinforce the logistical question before the agent acted on it.,0,Agent did not recognise the buying signal at all. Continued with the product pitch while the customer was clearly ready to commit. Opportunity missed.,P1-09 was Outcome Question Pricing Question or None. No logistics buying signal was present.,P2_18_Buying_Signal_Acted_On,P2_18_Reason
Agent Sales Execution,40,P2-19,Objection Type Correctly Identified Then Addressed,0-4,When any objection was raised did the agent correctly identify the type — price concern trust or prior bad experience competitor comparison logistics blocker decision-maker needed medication resistance or not interested — and respond specifically to that objection?,4,Agent correctly identified the objection type. Response directly and specifically addressed the exact concern raised. No generic re-pitch. Customer's objection was visibly resolved or meaningfully reduced.,3,Agent identified the objection correctly and gave a mostly specific response. One element of the rebuttal was slightly generic but the core concern was still addressed.,2,Agent partially identified the objection but the response addressed a different version of it — for example heard a trust concern but responded with a price rebuttal.,1,Agent identified the objection but responded with a generic re-pitch of product features that did not directly address the specific concern. Customer objection remained unresolved.,0,Agent ignored the objection or argued with the customer. No attempt to identify or address the specific concern. Generic script continued.,No objections were raised during the call.,P2_19_Objection_Handled,P2_19_Reason
Agent Sales Execution,40,P2-20,Urgency Quality and Timing,0-4,Was urgency introduced at the right moment in the call? Was the stated reason for urgency real and verifiable?,4,Urgency was introduced after genuine customer interest was established not at the opening. The reason was specific and grounded: a real offer window with current price versus standard price or confirmed limited slot availability. Customer responded positively.,3,Urgency was introduced at the right time but the reason was slightly vague. Customer did not react negatively but was not particularly moved.,2,Urgency was introduced at the right time but the specific claim was exaggerated — slots claimed as nearly full when the agent has no evidence of this.,1,Urgency was introduced prematurely — before any customer interest was established. Felt pushy rather than helpful. Damaged early rapport.,0,Urgency was fabricated — a false deadline false scarcity or fear-based pressure. Or urgency was used aggressively after the customer had already clearly declined.,No urgency was used during the call and the call outcome did not require it.,P2_20_Urgency_Quality_Timing,P2_20_Reason
Agent Sales Execution,40,P2-21,On-Call Closure Attempt,0-4,For converting calls: payment link sent on call slot confirmed address collected before disconnect. For non-converting calls: specific day and time confirmed by the customer WhatsApp message sent and confirmed before disconnect.,4,Converting call: payment link sent on call slot confirmed address collected agent remained on call while customer processed the payment. Non-converting call: specific day and time confirmed by customer WhatsApp message sent and confirmed as received before disconnect.,3,Converting call: payment link sent but slot or address confirmation was slightly incomplete. Non-converting call: specific day confirmed but time was vague or WhatsApp sent but not confirmed as received before call ended.,2,Converting call: payment link sent but no slot confirmed on the call. Non-converting call: agent asked for a callback window but the day or time was not specific.,1,Converting call: agent attempted to close but did not send the payment link on the call. Non-converting call: agent acknowledged the customer would think about it but made no attempt to confirm a specific callback time.,0,Converting call: no closure attempt made. Agent ended the call without asking for the next step. Non-converting call: call ended with no follow-up commitment of any kind.,Customer gave a hard no with no openness to follow-up. Or call disconnected abruptly before any closure attempt was possible.,P2_21_Closure_Attempt,P2_21_Reason
Agent Sales Execution,40,P2-22,Agent Conviction and Belief Transfer,0-4,Does the agent speak about MetaGoHealth and GLP-1 as if they genuinely believe it works or as if reading from a script for the first time? Evaluate based on: use of specific examples or patient outcome language composure under pushback ability to handle direct questions outside the script natural versus mechanical delivery and frequency of filler words such as basically actually like used as sentence starters.,4,Agent spoke with genuine confidence throughout. Handled at least one moment of customer pushback or skepticism without losing composure or reverting to script. Used at least one specific or real example to anchor a point. Tone communicated belief rather than performance.,3,Agent was mostly convincing but had one section that sounded scripted — typically the GLP-1 explanation block delivered verbatim regardless of what the customer had just said.,2,Agent delivered the pitch competently but mechanically throughout. No moments of genuine connection or specific examples used. Customer was informed but not moved.,1,Agent visibly lost confidence at one or more points — when asked a direct question outside the script when facing a strong objection or when pricing was challenged. Recovery was weak.,0,Agent sounded entirely scripted throughout. Customer's specific situation did not influence how the agent spoke. Multiple moments of visible uncertainty or complete disconnection from what the customer was saying.,Not applicable.,P2_22_Agent_Conviction,P2_22_Reason
Process and Compliance,20,P3-23,BMI Eligibility Confirmed,Pass/Fail,Agent calculated or confirmed BMI as 27 or above using the customer's stated height and weight before proceeding with any pitch. If BMI was below 27 agent correctly informed the customer of ineligibility and exited the call without pitching.,Pass,Agent confirmed BMI as 27 or above before proceeding,NA,NA,NA,NA,NA,NA,Fail,Agent pitched or attempted to book a customer whose BMI was below 27. Or BMI was never checked on a call that reached the payment stage. Or agent miscalculated BMI and proceeded incorrectly.,"The lead exited the funnel prior to BMI screening due to either a hard disqualification (age, medical, pincode), disinterest, or a requested callback.",P3_23_BMI_Eligibility,P3_23_Reason
Process and Compliance,20,P3-24,Age Eligibility Confirmed,Pass/Fail,Customer's age or the subject's age if this is a proxy call confirmed as within 18 to 65 before proceeding. If outside this range agent correctly informed the customer of ineligibility and did not pitch.,Pass,Customer's age or subject's age confirmed as within 18 to 65 before proceeding with any pitch or booking,NA,NA,NA,NA,NA,NA,Fail,Agent pitched or attempted to book for a subject outside the 18 to 65 age range,Age was clearly within range from the customer's opening details and required no separate confirmation step.,P3_24_Age_Eligibility,P3_24_Reason
Process and Compliance,20,P3-25,Pincode Serviceability Confirmed,Pass/Fail,Agent checked and confirmed the customer's pincode as serviceable before any slot booking or payment step was initiated. If first pincode was not serviceable an alternate pincode was offered and checked.,Pass,Agent checked and confirmed the customer's pincode as serviceable before any booking or payment step. If first pincode was not serviceable agent offered and checked an alternate pincode before concluding ineligibility.,NA,NA,NA,NA,NA,NA,Fail,Agent attempted to book a slot or sent a payment link for a customer whose pincode was not confirmed as serviceable. Or pincode was never asked on a call that reached the booking stage.,Call did not reach the booking stage. Customer exited before pincode confirmation was required. User was not interested or call back was taken,P3_25_Pincode_Confirmed,P3_25_Reason
Process and Compliance,20,P3-26,Medical Screening Complete,Pass/Fail,All required exclusion questions were asked before the payment link was sent or booking was confirmed. Required: gallstone or pancreatic condition; family history of thyroid cancer; history of retina surgery; ongoing depression medication. Additional for confirmed female customers under 40: pregnancy or breastfeeding status.,Pass,All applicable exclusion questions were asked before any payment step was initiated. Questions were asked conversationally before the booking stage was reached.,NA,NA,NA,NA,NA,NA,Fail,Agent moved the call to payment or booking without asking one or more required medical exclusion questions. Partial completion counts as Fail. Or the user was not interested or call back was taken,Customer gave a hard rejection before the medical history stage was reached. Or call ended before booking was initiated. Or user was not interested or call back was taken,P3_26_Medical_Screening,P3_26_Reason
Process and Compliance,20,P3-27,Outcome Claims Within Bounds,0-4,If weight loss outcomes were discussed the agent used approved framing: up to 20 percent of current body weight over 6 to 12 months or a reference to a real past patient outcome without absolute guarantees. No specific kilogram targets. No absolute timelines.,4,Agent used approved framing when outcomes were discussed — up to 20 percent over 6 to 12 months — or shared a realistic past customer example without absolute guarantees. Or agent did not introduce outcome projections unprompted.,3,Outcome framing was mostly appropriate but slightly bold in one instance. No absolute guarantee was made but the phrasing leaned optimistic.,2,Agent implied strong results without using approved language but stopped short of a specific guarantee.,1,Agent made a borderline claim beyond approved language: most of our customers lose 15 kilos or you will definitely see results.,0,Agent made a specific absolute unverified guarantee: you will lose 10 kilos in 2 months or we guarantee you will reach your target weight.,Weight loss outcome projections were never raised by either party. Mark NA only if the topic did not come up at all.,P3_27_Outcome_Claims,P3_27_Reason
Process and Compliance,20,P3-28,Urgency Grounded Not Fabricated,0-4,Any urgency claims used during the call were grounded in a verifiable reason — an actual offer price window or genuinely limited slot availability — and were not invented to pressure the customer.,4,Any urgency used was grounded in a verifiable reason — the current offer price versus the standard price or slot availability that is genuinely limited. No fabricated pressure of any kind.,3,Urgency was mostly grounded but one claim was slightly exaggerated without being clearly false — for example slots are filling fast which is possible but unconfirmed.,2,Urgency language was used but the specific claim — slots nearly full or offer ending in one hour — was not something the agent could have verified. Likely exaggerated.,1,Urgency was clearly fabricated — a deadline or scarcity claim that was invented. Customer questioned or pushed back on the urgency claim.,0,Agent used high-pressure fabricated urgency after the customer had already clearly declined. Or used fear-based pressure that was inaccurate or potentially harmful.,No urgency was used during the call.,P3_28_Urgency_Grounded,P3_28_Reason
Process and Compliance,20,P3-29,Respectful Exit,0-4,Customer's decision to pause think or decline was accepted respectfully. One courteous follow-up attempt was made if appropriate. Call ended without the customer being pressured or trapped.,4,Customer's decision to pause think or decline was accepted respectfully after one courteous follow-up attempt. Call ended positively and professionally regardless of outcome.,3,Agent was mostly respectful but made a second follow-up attempt that was slightly pushy without crossing into manipulation or aggression.,2,Agent made multiple follow-up attempts after a soft decline. Customer had to repeat their position more than once but was not trapped on the call.,1,Agent pushed back after a clear soft no in a way that felt pressured. Customer had to repeat their boundary explicitly before the agent accepted it.,0,Agent refused to accept the customer's decline. Used fear-based language guilt fabricated urgency or blame-shifting after the customer had clearly said no.,Never. Respectful behavior can always be evaluated if the agent spoke.,P3_29_Respectful_Exit,P3_29_Reason
Process and Compliance,20,P3-30,False Commitment to Convert Sale,Pass/Fail,"Did the agent make any false, exaggerated, or unauthorized commitment to convert the sale — such as claiming a non-GLP-1 ""natural"" alternative exists, stating medication is optional when it is compulsory, or promising outcomes or features the program does not actually offer?",Pass,"Agent made no false, exaggerated, or unverifiable commitment to close the sale. All claims about the program, medication requirements, and available alternatives were accurate and consistent with company policy.",NA,NA,NA,NA,NA,NA,Fail,"Agent made a false or misleading commitment to convert the sale (e.g., claiming a non-GLP-1 alternative exists, calling compulsory medication optional, or promising unverified outcomes/features). Capture the agent's exact verbatim statement in the Reason column.","Call ended before any commitment-related claim was made, or the customer converted without raising an objection that required a commitment claim from the agent.",P3_30_False_Commitment,P3_30_Reason